context,emotional_conclusion
"Tahun ini, hewan ternak yang dikembangakan warga Wonosari mengalami kenaikan angka kelahiran yang signifikan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Seno tertimpa musibah karena wabah flu yang dialami oleh sapinya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lina dan teman kelasnya melakukan perjalanan wisata untuk mempelajari bagian-bagian pembuatan gamelan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Arif sangat terhibur dengan musik campursari.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Arif kebingungan mencari tahu manakah yang disebut alat musik gambang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ani bercerita bahwa dia harus membawakan lagu tradisional Jawa Tengah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibunya Ani memintanya untuk mengajak teman-temannya bermain di teras agar lebih mudah diawasi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat penilaian non akademis nanti, Lina akan membawakan lagu daerah Jawa Tengah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tina selaku kepala dinas pendidikan Klaten mendapatkan mandat dari Bupati mengenai pentingnya praktek budaya diajarkan dalam sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kelompok Ali sedang mempresentasikan hasil kerja mereka mengenai seni tari lokal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ani kebingungan mengidentifikasi mana saja tarian daerah Jawa Tengah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Awal bulan ini, bupati Klaten akan berkunjung untuk peresmian acara festival UMKM.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Acara wayang yang digelar terdengar riuh dari radius 6 km.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Acara itu nantinya akan diresmikan oleh Walikota Solo.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Minggu depan, acara pesta rakyat oleh BRI akan diadakan di lapangan merdeka Delanggu.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Warga di dusun Butuhan sangat menantikan kedatangan malam satu Muharram.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mentri pendidikan akan beralih dari kurikulum KTSP ke kurikulum 2013.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Menurut Ana, para Guru khawatir akan rasa cinta budaya lokal yang akan dimiliki oleh para siswa.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ani diantarkan oleh ibunya ke rumah Dita karena ibunya harus pergi ke bank.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Karena baru pindah dari Tarakan, Sheva kebingungan dengan permainan yang teman-temannya sedang mainkan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ani bertanya dimana saja kita dapat bermain gobag sodor?.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek jarang melakukan kegiatan tidur siang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah memesan beberapa makanan di warung makan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Pak Lurah mengatakan, anggaran belanja bulan ini akan dialokasikan bagi warga-warga yang memiliki kesulitan akses akan transportasi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu terkesima melihat rumah baru Tina.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tina menghiasi beberapa bagian rumahnya dengan konsep jawa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yanto mengatakan bahwa ia sering melihat pak Rani keluar rumah malam hari.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ustad dari Jakarta tersebut bertanya kebiasaan warga saat menyambut solat berjamaah di masjid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Rani dan teman-temannya akan pergi ke pantai, Minggu ini.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rani dan temannya sedang asik bermain congklak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tino bertanya kebiasaan warga saat satu muharram.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayu memberi tahu Tina jika Tiara merupakan siswi yang berasal dari Jawa Tengah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayu dan Tina kagum dengan sikap yang dimiliki oleh Tiara.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibunya sangat memperhatikan kondisi fisik dan pertumbuhannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Seiring bertambahnya usia, Ibu sering mengeluh sakit setiap selesai beraktivitas.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sudah setahun menderita penyakit kanker, Keli menunjukan perkembangan yang cukup baik.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibunya sangat memperhatikan kondisi Ani setelah melahirkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Tina bertanya pada Rani terkait maksud ayahnya selalu menekankan kata-kata ""Urip Iku Urup"" padanya.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tini sebelum berangkat sekolah selalu sarapan pagi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saya makan siang di sebuah Restoran.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Makan malam janganlah terlalu banyak untuk pola hidup sehat.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Makan malam sebaiknya kurangi karbohidrat.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Ibu Ani selalu mengawasi anaknya makan snack sembarangan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Ibu saya selalu membuat ""jaja kukus"" untuk teman ngopi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kalau ke Bali jangan lupa membeli oleh-oleh.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
"Salah satu oleh-oleh khas Bali adalah ""Pie Susu"".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Endek klungkung menjadi salah satu oleh-oleh kain yang berasal dari Bali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tuak merupakan minuman khas Bali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Loloh cemcem merupakan salah satu minuman khas Bali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Megibung merupakan tradisi cara makan bersama-sama dalam satu tempat di Bali untuk meningkatkan rasa persaudaraan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Andi makan nasi menggunkan cekot.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Ibu memasak nasi menggunakan dangdang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Salah satu makanan khas Bali adalah ""Lawar"".",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Sager gerang adalah makanan khas Bali yang enak.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Nasi Sela adalah salah satu makanan khas Bali yang legendaris.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Buah bekul adalah salah satu buah khas Bali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buah gunggung adalah salah satu ciri khas Bali yang sudah agak susah ditemukan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ika dan Adi akan menikah, sebelumnya mereka melakukan prosesi Nyedek.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ika dan Adi setelah nyedek melakukan prosesi Ngidih.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setelah Ika diminta oleh adi selanjutnya ada acara mekalan-kalan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adi dan Ika saat menikah ada acara yang dinamakan metanjung sambuk.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Pada saat Adi dan Ika menikah ada acara mebiukaon.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada saat acara pernikahan Ika dan Adi akan ada acara metipat bantal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setelah selesai acara pernikahan Adi dan Ika selenjutnya mengadakan acara ngetelunin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setelah menikah Adi dan Ika akan mengadakan acara tuwun mebanjar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada saat menikah surya mengundang prejuru.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat acara pernikahan, Lutfi mendapatkan hadiah banten.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Putu dan Made saudara metugelan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Komang dan Ketut bersaudara misan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Putu dan Ika saudara meipah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Onik dan Agung saudara warang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri dan Yuni saudara memindon.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Oki dan Ida saudara mekumpi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Surya dengan warga masyarakat menyama beraya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri selalu mengikuti kegiatan dengan warga Banjar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri rajin beribadah dikawitannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bhumi adalah keturunan berkasta.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu cinta dulunya berasal dari keluarga brahmana.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri ketika hamil melakukan acara megedongan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat Sri hamil, ia selalu minum air kelapa muda.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sinta saat hamil sering melukat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Suci ketika hamil selalu meoton.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah lahiran Ika, suaminya menanam ari-ari.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ika akan membuatkan acara abulan pitung dina.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Derni sering membuatkan bayinya dedinan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bayi ika dibuatkan acara kepus pungsed.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siska membuatkan acara mebayuh untuk anaknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Eka selalu membuatkan anaknya acara meoton.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"""Meketus"" merupakan tradisi di Bali untuk merawat anak-anak.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Keluarga intan melakukan acara ""Metatah"" atau potong gigi untuk intan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu Ani selalu menanyakan kegiatan anaknya sepulang sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ratna selalu berbagi cerita ke ibunya dan selalu meminta pendapat keibunya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Vani merasa kehilangan sekali dengan kejadian pahit ini.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika mayat paman selesai nyiramin selanjutnya dilakukan acara ""melelet"".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ketika mayat paman sudah dikubur selanjutnya ada acara mecaru.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika mayat paman sudah dikubur, pihak keluarga mengadakan acara nyekah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika melayat, warga harus menggunakan pakean serba hitam.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada acara penguburan paman Tini terlihat menggunakan pakaian yang sopan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah mempersiapkan daging untuk acara penampahan nanti.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu membuat banten persiapan Galungan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah membuat penjor.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu membuat lamak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak membuat ogoh-ogoh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kita wajib menjalankan catur brata penyepian.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siswa melakukan persembahyangan hari saraswati.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu mebanten keliling.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri membantu ibu membuat kuangen.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Srik melakukan pengelukatan sebelum sembahyang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rani membantu ibu nyurud banten.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Bhumi menanam sayuran.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu menanam umbi-umbian.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah memupuk tanaman.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek menyiram tanaman.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah ngedig padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu ngabut kangkung.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek ngarit padang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bapak saya ngangon sapinya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek membuat bada untuk sapinya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakak saya nuba be di sungai kemarin sore.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu mencari dadag kesawah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Loren senang sekali karena kucitnya sudah besar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Bhumi sering melatih anak-anak dalam megambel.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anom duduk sambil bermain suling dengan nada yang indah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ika dipilih lomba bernyanyi putri cening ayu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ranti bernyanyi lagu siap selem.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakak saya jadi penari joged bungbung.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Roni akan tampil diacara parti besok karena suara roni bagus.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rika menampilkan kata-kata yang menyentuh di hati.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bu guru mengajarkan anak-anak cecimpedan dalam bahasa Bali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ika bermain dengan menggunakan 2 tongkat bambu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ranti bermain dengan membuat barisan saling memegang bahu teman.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Oki bermain dengan tim untuk melewati rintangan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rana bermain meong-meong dengan membuat lingkaran besar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Toni bermain sepak bola.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ani setiap hari sabtu mendapatkan literasi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu akan naik bus trans metro menuju ke Kuta.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah akan membuat garasa mobil.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek renacana akan membuat warung mini.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saya dan ibu berolahraga sambil menikmati pemandangan sore.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di hari minggu Tini dan ayah selalu kerja bakti.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setiap hari purnama siswa di Bali berpakaian adat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agama hindu meyakini orang yang meninggal akan mengalami punarbawa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri percaya sekali di sekitaran sekolahnya ada penjaga gaibnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setiap hari saraswati siswa di Bali melakukan persembahyangan bersama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Intan selalu sopan dan bijaksana setiap kali berbicara dengan orang lain.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu yang sudah melahirkan dianjurkan untuk minum jamu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ada pepatah mengatakan ""Taki takining swaka guna widya"".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yuna sarapan pagi sebelum berangkat ke sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Gus Rai makan nasi kuning di pagi hari.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Kami makan siang di restoran bebek bengil.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Makan siang Mei hari ini adalah ayam panggang sambel matah ke sekolah.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Saya dan pasangan pergi makan malam di kafe terdekat.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Amira makan malam dengan kakaknya.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Yuni pergi ke pasar untuk membeli kacang kapri mentah.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Pengrajin endek terlihat sangat terampil saat membuat polanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
James sangat menyukai oleh oleh khas Bali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Juniantara sangat senang membeli paplendoan khas Bali.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Kami pergi ke daerah Bangli dan membeli loloh cemcem.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Kadek makan dengan menggunakan cekot.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Saya dan sekeluarga menyukai ayam betutu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tude sangat mahir memasak lawar plek.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak SMA di Denpasar sangat suka nongkrong di warung rujak dan tipat cantok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Gek Tari paling suka makan buah bekul.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Rama memetik buah juwet saat bermain Woodball.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sebelum menikah Ketut Sari akan melaksanakan upacara ngidih di rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Made dan keluarganya membawa keluarganya ke rumah Ira.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tugek melewati prosesi pernikahan mebyakaon bersama Gustut.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agustina menghadiri pernikahan kakak sepupunya bersama sekaa truna truni di Banjar Desa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anggi menikah di hari yang sudah ditentukan oleh pemuka agama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Seorang istri akan menjadi keluarga suaminya setelah menikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sintya yang baru menikah akan melakukan rangkaian ngetelunin di rumahnya saat lajang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri melakukan tradisi tuun mebanjar setelah menikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Guna mengunakan pakaian pernikahan tradisional saat resepsi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Danu menggunakan pakaian pernikahan pria khas Bali model tempo dulu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dinda sudah menyiapkan tiga jenis baju pernikahannya dengan warna berbeda.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adik saya menggunakan payas agung saat hari H pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Arya pergi sebagai tamu undangan ke pernikahan temannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayunda mengundang pemangku desa untuk menyaksikan pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Widhi menikah ke desa suaminya yang lumayan jauh dari perkotaan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Para saudara pengantin akan menjaga pintu masuk pernikahan di stand makanan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Hadiah pernikahan Ari sangat beragam.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Putu dan Kadek kakak beradik metugelan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bapak dan ibu mekurenan sejak 20 tahun lalu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Vina dan Joni bersaudara misan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Janika memiliki saudara mindo bernama Siska.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
